534.840937	0.009160
536.344870	0.014341
536.555286	0.017325
536.732670	0.017154
537.080858	0.011609
537.187056	0.018017
537.192308	0.015074
537.205267	0.014755
537.222751	0.014707
537.259730	0.011389
537.793512	0.012755
538.182995	0.015791
538.387591	0.004356
538.633622	0.002439
539.043453	0.005686
539.214668	0.029903
539.279988	0.036522
539.330241	0.003429
539.458759	0.028481
539.484499	0.035426
539.625382	0.030818
539.703070	0.033433
539.704670	0.007646
539.755441	0.011297
539.971474	0.005128
540.003889	0.005445
540.076707	0.001330
540.142716	0.002252
540.191302	0.000404
540.243530	0.023427
